Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
15566,layer3.2.conv2,"(52, 23, 2, 1)",5,12630,12630,0,0
15567,layer3.2.conv2,"(31, 18, 1, 1)",6,12630,12630,0,0
15568,layer3.2.conv2,"(16, 30, 2, 0)",18,12630,198,12432,0
15569,layer3.2.conv2,"(10, 34, 0, 0)",22,12630,72,12557,1
15570,layer3.2.conv2,"(18, 43, 1, 1)",7,12630,12630,0,0
15571,layer3.2.conv2,"(32, 28, 1, 0)",9,12630,12630,0,0
15572,layer3.2.conv2,"(44, 7, 0, 2)",24,12630,97,12533,0
15573,layer3.2.conv2,"(16, 4, 1, 0)",3,12630,12630,0,0
15574,layer3.2.conv2,"(24, 32, 2, 0)",23,12630,0,12629,1
15575,layer3.2.conv2,"(38, 17, 2, 2)",12,12630,62,12568,0
15576,layer3.2.conv2,"(36, 36, 0, 2)",15,12630,498,12132,0
15577,layer3.2.conv2,"(45, 17, 1, 0)",26,12630,0,12630,0
15578,layer3.2.conv2,"(1, 57, 1, 2)",4,12630,12630,0,0
15579,layer3.2.conv2,"(35, 61, 1, 1)",9,12630,12630,0,0
15580,layer3.2.conv2,"(29, 50, 2, 0)",31,12630,1,12620,9
15581,layer3.2.conv2,"(5, 30, 0, 1)",11,12630,12630,0,0
15582,layer3.2.conv2,"(23, 29, 1, 0)",29,12630,15,12615,0
15583,layer3.2.conv2,"(58, 19, 2, 2)",5,12630,12630,0,0
15584,layer3.2.conv2,"(13, 58, 0, 0)",23,12630,4,12620,6
15585,layer3.2.conv2,"(20, 36, 1, 2)",25,12630,388,12193,49
15586,layer3.2.conv2,"(1, 3, 0, 0)",30,12630,0,131,12499
15587,layer3.2.conv2,"(15, 61, 0, 0)",18,12630,2383,10247,0
15588,layer3.2.conv2,"(2, 20, 1, 0)",17,12630,0,12630,0
15589,layer3.2.conv2,"(25, 11, 1, 0)",7,12630,12630,0,0
15590,layer3.2.conv2,"(11, 62, 0, 1)",26,12630,0,12581,49
15591,layer3.2.conv2,"(23, 44, 2, 1)",5,12630,12630,0,0
15592,layer3.2.conv2,"(47, 52, 0, 1)",25,12630,0,12626,4
15593,layer3.2.conv2,"(34, 49, 2, 2)",21,12630,7,12623,0
15594,layer3.2.conv2,"(2, 36, 1, 1)",24,12630,148,12482,0
15595,layer3.2.conv2,"(0, 53, 0, 2)",22,12630,64,12566,0
15596,layer3.2.conv2,"(29, 49, 2, 2)",31,12630,0,12627,3
15597,layer3.2.conv2,"(39, 21, 2, 2)",4,12630,12630,0,0
15598,layer3.2.conv2,"(60, 9, 0, 2)",12,12630,6,12624,0
